name,quantity,model_name,model_number,serial_number,country_of_origin,manufacturer,where_purchased,price,acquired_year,location,remark,department,decription,inventory_number,,,
Wooden cabinet ,1,,,,,,,,,AEW 02C,Good ,water,,,,,
Temperature humidity cabinet ,1,,,,JP,,ESPEC LHU-212 N-E,,,AEW 02C, Not Working,water,,,,,
UV-Vis Spectrophotometer ,1,IV MINI-1240,A10934803704,,JP,Shimadzu,,,,,,biochemistry,,,,,
Autoclave,1,SLE Series,TcoIEF-7575,,UK,medica instrument,,,,,,biochemistry,,,,,
Deep freezer (- 86_C),1,MDF-792,80604129,,JP,Sanyo electric,,,,,,biochemistry,,,,,
Bench top microfuge (Mikro 200),1,Hettich,0003779-03-00,,DE,Hettich,,,,,,biochemistry,,,,,
Bench top microfuge (Mikro 200),1,Hettich,0003773-03-00,,DE,Hettich,,,,,,biochemistry,,,,,
Bench top microfuge (Mikro 200),1,Hettich,0003779-03-00 ,,DE,Hettich,,,,,,biochemistry,,,,,
Inverted microscopes,1,Optika,304216,,IT,Optika,,,,,,biochemistry,,,,,
Inverted microscopes,1,Optika,304212,,IT,Optika,,,,,,biochemistry,,,,,
Shaker incubators,1,Gallen kamp,SG97/07/378,,UK,Gallen kamp,,,,,,biochemistry,,,,,
Shaker incubators,1,Gallen kamp,SG96/12/272,,UK,Gallen kamp,,,,,,biochemistry,,,,,
Shaker incubators,1,Gallen kamp,SG98/07/372,,UK,Gallen kamp,,,,,,biochemistry,,,,,
Teaching microscope ,3,B-352A,3.05E+17,,IT,Optika,,,,,,biochemistry,,,,,
Vis Spectrophotometers,3,Biotech,VIS 7220G,,UK,Management Co.Ltd,,,,,,biochemistry,,,,,
Super speed vaccum centrifuge,1,VS-3000I,E12375QF0001,,UK,Vision scientific,,,,,,biochemistry,,,,,
CO2 Incubator,1,MCO175,SG96/12/272,,JP,Sanyo electric,,,,,,biochemistry,,,,,
CO2 Incubator,1,MCO175,SG97/07/378,,JP,Sanyo electric,,,,,,biochemistry,,,,,
Spectrofluorimeter,1,RF-5301PC,A40194001276,,JP,Shimadzu,,,,,,biochemistry,,,,,
Benchtop centrifuge ,1,600 series,Centurion,,,,,,,,,biochemistry,,,,,
Refrigerators,2,Sanyo,,,JP,Sanyo electric,,,,,,biochemistry,,,,,
Weighing balance,1,TX3202L,D465411579,,JP,Shimadzu,,,,,,biochemistry,,,,,
Weighing balance,1,TX323L,D465411579,,,,,,,,,biochemistry,,,,,
General laboratory Oven,1,,,,,,,,,,,biochemistry,,,,,
G.C. MACHINE,1,N2008,,,UK,BUCK,,,1997,Env  lab,Not working,civil,,,,,
AAS MACHINE,1,916,,,UK,BUCK,,,1997,,In good order,civil,,,,,
INCUBATOR,1,AF-25,,,JP,,,,1986,,,civil,,,,,
INCUBATOR,1,TH-17,,,JP,,,,1986,,,civil,,,,,
SAFELAB TABLE,1,PCR-1010,,,UK,SAFE LAB,,,1998,,Not working,civil,,,,,
JAR TESTER,1,17085,,,,,,,1986,,In good order,civil,,,,,
CENTRIFUGE,1,105404,,,,,,,1992,,,civil,,,,,
DISTILLER,1,IT-30,,,,,,,1994,,,civil,,,,,
INCUBATOR,1,R000100061,,,,,,,1998,,,civil,,,,,
FRIDGE,1,,,,,,,,1994,,Not working,civil,,,,,
FRIDGE,1,None,,,,,,,2000,,Not working,civil,,,,,
CONCENTRATOR,1,998570,,,,,,,1999,,In good order,civil,,,,,
AUTOCLAVE,1,299535R,,,,,,,1994,,,civil,,,,,
SPECTROPHOTOMETER,1,1334871,,,,,,,1994,,Not working,civil,,,,,
SPECTROPHOTOMETER,1,2883,,,,,,,1996,,Not working,civil,,,,,
WATER BATH,1,H6.7.80,,,,,,,1995,,In good order,civil,,,,,
COD DIGESTER,1,,,,,,,,1998,,,civil,,,,,
DRYING OVEN,1,SS-206 D,,,,,,,1986,,,civil,,,,,
INCUBATOR,1,1271,,,,,,,2000,,,civil,,,,,
BENCH D.O METER,1,1013,,,,,,,1996,,Not working,civil,,,,,
INCUBATOR,1,,,,,,,,1994,,In good order,civil,,,,,
FILTER UNIT,1,,,,,,,,1999,,,civil,,,,,
DRYER,1,H3BA,,,,,,,1994,,,civil,,,,,
DRYER,1,1013,,,,,,,1999,,,civil,,,,,
FURNACE,1,50001,,,,,,,1994,,In good order,civil,,,,,
pH METER,1,361-40433,,,,,,,1994,,Not working,civil,,,,,
PH METER,1,C-9004779,,,,,,,1996,,Not working,civil,,,,,
MICROSCOPE,1,464218,,,,,,,1986,,In good order,civil,,,,,
MICROSCOPE,1,343735,,,,,,,1986,,,civil,,,,,
WATER ANALYZER SET,1,LA-1,,,,,,,1994,,,civil,,,,,
INCUBATOR,1,,,,,,,,1994,,,civil,,,,,
FLAME PHOTOMETER,1,3002,,,,,,,1986,,In good order,civil,,,,,
VACUUM PUMP,1,V-82511,,,,,,,1986,,,civil,,,,,
PORTABLE D.O. METER ,1,,,,,,,,,,Not working,civil,,,,,
SHAKER,1,69901.24,,,,,,,1999,,In good order,civil,,,,,
PHOTOCOLORIMETER,1,331228,,,,,,,1987,,,civil,,,,,
PORTABLE PHOTOMETER,1,418512,,,,,,,,,,civil,,,,,
PORTABLE PHOTOMETER,1,,,,,,,,,,,civil,,,,,
PHOTO CALORIMETER,1,,,,,,,,,,In good order,civil,,,,,
DO METER,1,,,,,,,,,,,civil,,,,,
HOT STIRRER,1,549184,,,,,,,,,,civil,,,,,
HOT STIRRER,1,54915,,,,,,,,,,civil,,,,,
TURBIDITY METER,1,T890709,,,,,,,,,,civil,,,,,
DO METER,1,,,,,,,,,,Not working,civil,,,,,
HOT PLATE,3,,,,,,,,,,In good order,civil,,,,,
KJEIDAL DISTILATION APPARATUS ,1,,,,,,,,,,,civil,,,,,
Incubator,1,11271,,,,,,,2001,,In good order,civil,,,,,
Incubator,1,1994,,,,,,,,,,civil,,,,,
PH meter,1,414442,,,,,,,,,,civil,,,,,
PH meter,1,414445,,,,,,,,,,civil,,,,,
Hydride Generator,1,1017,,,,,,,,,In good order,civil,,,,,
Autoclave,1,800747,,,,,,,2003,,,civil,,,,,
Autoclave,1,800748,,,,,,,2003,,,civil,,,,,
Biomedical Freezer(2 No.),1,,,,,,,,,,In good order,civil,,,,,
PH meter,1,,,,,,,,,,,civil,,,,,
Turbidity Meter,1,1042,,,,,,,,,,civil,,,,,
Weighing Balance,1,115113809,,,,,,,,,In good order,civil,,,,,
Electronic Balance,1,5614965,,,,,,,,,,civil,,,,,
Electrical Conductivity meter,1,,,,,,,,,,,civil,,,,,
Turbidity meter,1,,,,,,,,,,,civil,,,,,
IBM laptop Computer,1,144112,,,,,,,,,,civil,,,,,
Computer Monitor,1,2140800536,,,,,,,,,,civil,,,,,
Printer (star),1,-,,,,,,,,,,civil,,,,,
Cold Vapour Generator,1,1015,,,,,,,,,In good order,civil,,,,,
Compressor,1,,,,,,,,,,,civil,,,,,
Thermometer,1,HI 9063,,,,,,,,,,civil,,,,,
Approach Channel ,1,WE-906,,,,,,,1981,Hydraulics,,civil,,,,,
Reservoir for Channel,1,TANK,,,,,,,1981,,,civil,,,,,
Pump with motor,1,80*6504-53.7,,,,,,,1981,,,civil,,,,,
Pipe Network,1,,,,,,,,1981,,,civil,,,,,
Pump with motor,1,,,,,,,,1981,,,civil,,,,,
Tank,1,TANK-WHU,,,,,,,1981,,,civil,,,,,
Pump and motor for Hydro-synthetic Machine,1,JV-CH-,,,,,,,1981,,,civil,,,,,
Hydro-synthetic machine,1,,,,,,,,1981,,,civil,,,,,
Manometric stand,1,,,,,,,,1981,,,civil,,,,,
Pipe surge apparatus,1,,,,,,,,1981,,,civil,,,,,
Forced vortex  apparatus,1,,,,,,,,1981,,,civil,,,,,
Weighing balance,1,,,,,,,,1981,,,civil,,,,,
Circulating Tank ,1,,,,,,,,1981,,,civil,,,,,
Orifice meter apparatus ,1,,,,,,,,1981,,,civil,,,,,
Pump and motor   ,1,80*65A2-53.7,,,,,,,1981,,,civil,,,,,
Log _ log Board,1,,,,,,,,1982,,,civil,,,,,
Reynold_s  experiment app ,1,,,,,,,,1981,Hydraulics,Needs repIR,civil,,,,,
Experiment table ,1,,,,,,,,1981,,Broken,civil,,,,,
Wave Generator,1,WHW-P,,,,,,,1981,,,civil,,,,,
Multi _ Manometer,1,WH1,,,,,,,1987,,,civil,,,,,
Current meter sensor,4,,,,,,,,,,,civil,,,,,
Vernier calipers,3,,,,,,,,,,,civil,,,,,
Tachometer,1,34848,,,,,,,1987,,,civil,,,,,
Hydrometer,1,9757,,,,,,,2001,,,civil,,,,,
Min. & Max. Thermometer    ,1,126423,,,,,,,2001,,,civil,,,,,
Water pressure gauge,1,34036,,,,,,,,,,civil,,,,,
Water pump,1,CB-P80A,,,,,,,,,,civil,,,,,
Water pump,1,CB-P80H,,,,,,,,,,civil,,,,,
Water pump,1,CB-P80H,,,,,,,,,,civil,,,,,
Water pump,1,CB-P80H,,,,,,,,,,civil,,,,,
Current meter  ,1,TYPEC- 510AP,,,,,,,,,,civil,,,,,
Float meter,1,AZS-14,,,,,,,,,,civil,,,,,
Hand electric tachometer,1,60494031,,,,,,,,,,civil,,,,,
Current meter ,1,,,,,,,,,,,civil,,,,,
Inclined manometer,3,,,,,,,,1986,,,civil,,,,,
Profile indicator complete with probe,1,,,,,,,,1987,,,civil,,,,,
Weighing balance ,1,,,,,,,,,,,civil,,,,,
Direct Shear Apparatus,1,19548,,,,,,,1992,SOILS & FOUND.,In Good Condition,civil,,,,,
Improved Direct Shear Apparatus.,1,21599,,,,,,,1988,,,civil,,,,,
Triaxial Compression Apparatus (ELE ),1,172-11-1066,,,,,,,1996,,,civil,,,,,
Clarke Air Compressor for Triaxial,1,40552,,,,,,,1996,,,civil,,,,,
Water De-airing System for Triaxial,1,1617-4-10114,,,,,,,1996,,,civil,,,,,
Unconfined Comp./CBR  Attachments,1,,,,,,,,1995,,,civil,,,,,
Unconfined Compression Apparatus,1,19563,,,,,,,1981,,,civil,,,,,
Proctor Compaction Testing  Apparatus,1,,,,,,,,1981,,,civil,,,,,
Proctor Compaction Testing  Apparatus,1,,,,,,,,1995,,,civil,,,,,
Automatic Soil Compaction Machine,1,21596,,,,,,,1988,,,civil,,,,,
Field & Lab. CBR  Testing Apparatus,1,19564,,,,,,,1981,,,civil,,,,,
Electric CBR Loading Machine,1,2531,,,,,,,1987,,,civil,,,,,
5-ton CBR Jack Extruder,1,,,,,,,,1981,,,civil,,,,,
Consolidation  Test Apparatus (ELE),1,808 02,,,,,,,1984,,,civil,,,,,
"Counter-weights, 13pcs;1~10Kg",13,,,,,,,,1984,SOILS & FOUND. ,,civil,,,,,
Consolidation  Test Apparatus (Marui),,21027,,,,,,,1986,,,civil,,,,,
50mm dia. Soil Lathe,1,,,,,,,,-,,,civil,,,,,
Wire Saw for Soil Lathe; guitar wire,1,,,,,,,,-,, Wire is cut,civil,,,,,
Vane Shear Test Apparatus,1,,,,,,,,1983,,In Good Condition,civil,,,,,
"0.7m3 Drying Oven, by Marui",1,,,,,,,,1982,,,civil,,,,,
Standard Falling Head Permeability Test ,1,,,,,,,,1982,,,civil,,,,,
Standard Falling Head Permeability Test,1,,,,,,,,1995,,,civil,,,,,
Modified Falling Head Permeability Test,1,20803,,,,,,,1985,,In Good  Condition,civil,,,,,
Constant Head Permeability Test App.,1,,,,,,,,1985,,,civil,,,,,
Riffle Boxes,2,,,,,,,,1981,,,civil,,,,,
200mm_ Soil Analysis Sieves ,1,,,,,,,,1981,,,civil,,,,,
200mm_ Aggregate Test  Sieves ,1,,,,,,,,1986,,,civil,,,,,
Hand Sieve Shaker,1,(TG-104) 322,,,,,,,1993,,,civil,,,,,
Sand Cone Replacement Apparatus,1,,,,,,,,1985,,,civil,,,,,
Vacuum Pump Unit with Transformer,1,5956140,,,,,,,1985,SOILS & FOUND.,,civil,,,,,
Soil Sampling Set,1,,,,,,,,1982,,,civil,,,,,
Soil Hand Auger,1,,,,,,,,1984,,,civil,,,,,
Constant Temperature Water Bath,1,UM-300,,,,,,,1987,SOILS & FOUND. ,,civil,,,,,
High -Speed Soil Stirrer,1,,,,,,,,1981,,,civil,,,,,
"Soil Hydrometers, 7 No.",1,,,,,,,,1981/84,,,civil,,,,,
Speedy Moisture Meter,1,19575,,,,,,,1981,,,civil,,,,,
Soil Moisture Meter; Planter II,1,,,,,,,,1984,,,civil,,,,,
Liquid Limit Test Apparatus; Cup,1,,,,,,,,1981,,,civil,,,,,
Liquid Limit Test Apparatus; Cone,1,,,,,,,,1993,,,civil,,,,,
PVC flat plates for Plastic Limit Test,1,,,,,,,,1983,,,civil,,,,,
Shrinkage Limit Test Apparatus; 9No.,1,,,,,,,,1981,,,civil,,,,,
Linear Shrinkage Moulds (ELE); 4No,1,,,,,,,,1987,,,civil,,,,,
Volume Change Tester,1,,,,,,,,1988,,,civil,,,,,
305mm dia. Plate Bearing Test Apparatus,1,,,,,,,,1995,,,civil,,,,,
____ Hand-operated Pressure System ,1,,,,,,,,1995,,,civil,,,,,
____ 100kN Hydraulic Jack,1,,,,,,,,1995,,,civil,,,,,
Palintest Soil Kit,1,,,,,,,,1996,,,civil,,,,,
Earth Pressure Retaining Wall Model,1,AMS-811 (1998),,,,,,,1998,,,civil,,,,,
Basic Bearing Pressure Model,1,AMS-822 (1998),,,,,,,1998,,,civil,,,,,
"In-situ CBR Testing Apparatus, Jack-type",1,,,,,,,,1994,,,civil,,,,,
Autonomous Data Acquisition System ,1,26516,,,,,,,1999,,Incl. DS6 Software,civil,,,,,
Dynamic Cone Penetrometer,1,,,,,,,,2000,SOILS & FOUND.,In Good Condition,civil,,,,,
"Soil Audio Visual Aids, 3 sets",1,,,,,,,,1983,,,civil,,,,,
"Rock/Soil Samples, 2 sets",1,,,,,,,,1984,SOILS & FOUND.,,civil,,,,,
Scale of Handness for Rocks,1,,,,,,,,,,,civil,,,,,
1.5m long  x 32mm dia. Crow Bar,1,,,,,,,,1982,,,civil,,,,,
Step-down Transformer (100~240V),1,,,,,,,,1985,,,civil,,,,,
Triple Beam Balance; 2No.,1,348 / 349,,,,,,,1981,,,civil,,,,,
"Auto-counter scales, 4Kg capacity; 2No.",1,,,,,,,,1982,,,civil,,,,,
Analytical Balance,1,(L200) 4014,,,,,,,1982,,,civil,,,,,
"Spring Balance, 1kg capacity; 10No.",1,,,,,,,,1982,SOILS & FOUND. ,,civil,,,,,
"Spring Balance, 500gm capacity; 10N0.",1,,,,,,,,1982,,,civil,,,,,
2 Kg Top-loading electronic balance,1,57674,,,,,,,1983,,,civil,,,,,
15 Kg Top-loading electronic balance,1,J78096,,,,,,,1989,,,civil,,,,,
"100 Kg Auto-Platform Scale, (GHD-100)",1,,,,,,,,1995,,,civil,,,,,
Wooden Spirit Level with Compass,1,,,,,,,,1984,,,civil,,,,,
Mitutoyo  Micrometer Screw Gauge,1,0500310/0500400,,,,,,,,,,civil,,,,,
Mitutoyo Vernier Calipers,1,6B 7831,,,,,,,,,,civil,,,,,
Kanestsu Magnetic Bases,1,,,,,,,,,,,civil,,,,,
Smiths Wall Clock,1,,,,,,,,1984,,It Malfunctions,civil,,,,,
Smiths Stopwatch,1,,,,,,,,,,In Good  Condition,civil,,,,,
Seiko Digital Stopwatch,1,,,,,,,,1995,,,civil,,,,,
Yashita Photographic Camera,1,,,,,,,,1995,,,civil,,,,,
Starlette  Manual Spiral Binder,1,(A3S)  081180,,,,,,,1997,,,civil,,,,,
Overhead Projector (OHP),1,V-12818,,,,,,,,,,civil,,,,,
Cabins SP  Slide Projector,1,313510905,,,,,,,1999,,,civil,,,,,
Torsee_s Universal Testing Machine,1,20307,,,,,,,1981,TRANSPORT.,Base failure,civil,,,,,
Curing Cabinet,1,19545,,,,,,,1981,,In Good Condition,civil,,,,,
Concrete Cutter,1,19547,,,,,,,1981,,,civil,,,,,
Concrete Flow Table,1,19554,,,,,,,1981,,,civil,,,,,
Ro-Tap Sieve Shaker,1,Marui,,,,,,,1981,,,civil,,,,,
Laboratory Center Tables,1,,,,,,,,1981,,,civil,,,,,
Movable Chalkboard,1,,,,,,,,1981,,,civil,,,,,
Ductility Machine ,1,Maruto,,,,,,,1983,,,civil,,,,,
Ring & Ball Softening Point Apparatus ,1,,,,,,,,1983,,,civil,,,,,
Binder Centrifugal Extractor,1,2581,,,,,,,1983,,,civil,,,,,
Cleveland Flash-point Apparatus,1,,,,,,,,1983,,,civil,,,,,
Bitumen Distillation Apparatus ,1,,,,,,,,1983,,,civil,,,,,
Standard Penetration Apparatus,1,,,,,,,,1983,,,civil,,,,,
Marshall Test Machine,1,20816,,,,,,,1985,,,civil,,,,,
____ Stability Mould for Marshall Machine,1,,,,,,,,1985,,,civil,,,,,
Saybolt Universal Viscometer,1,6872,,,,,,,1985,,,civil,,,,,
Los Angeles Abrasion Machine,1,2549,,,,,,,1988,,Out of Order,civil,,,,,
100 ton Compression Tester with pump,1,14378,,,,,,,1992,,In Good Condition,civil,,,,,
"200mm_ Asphalt Test Sieves, 1 set",1,Macross,,,,,,,1993,,,civil,,,,,
Asphalt Permeability Test Apparatus ,1,AF-16,,,,,,,1995,TRANSPORT.,In Good Condition,civil,,,,,
Square-shaped Hotplate for Bitumen ,1,Marui,,,,,,,1995,,,civil,,,,,
Automatic Marshall Hammer,1,34516,,,,,,,1995,,,civil,,,,,
Autographic Marshall Test Apparatus ,1,,,,,,,,1995,,,civil,,,,,
________ Monitor and Control Unit,1,941899,,,,,,,1995,,,civil,,,,,
________ X-Y Recorder for Marshall Test,1,(F-5C) 37931,,,,,,,1995,,,civil,,,,,
HVEEM Cohesiometer,1,(TA 325) C 21,,,,,,,1995,,,civil,,,,,
HVEEM Stabilometer,1,(TA 326) C33,,,,,,,1995,,,civil,,,,,
"100 Kg Auto-Platform Scale, (GHD-100)",1,(1994-6) 02,,,,,,,1995,,,civil,,,,,
Portable Skid Resistance Kit (ELE),1,1401,,,,,,,1996,,In Good Condition,civil,,,,,
"100mm dia. Motorized Core Cutter, ELE",1,TVXL-840-8425H,,,,,,,1997,,,civil,,,,,
Vibration Meter with Extension Probe,1,Metrix 5500,,,,,,,1999,,,civil,,,,,
"LOADING FRAME, 6.0X4.0m, 25 TON. CAPACITY",1,,,,,,,,1994,MATERIALS AND STRUCTURES,Out of order,civil,,,,,
"RIFFLE BOXES, Assorted sizes",18,,,,,,,,,,,civil,,,,,
OVEN ,1,33/669 220v,,,,,,,,,,civil,,,,,
CONCRETE PERMEABILITY APP.,1,19546,,,,,,,,,Out of order,civil,,,,,
FLEXURAL TENSILE TEST MACHINE,1,,,,,,,,,,,civil,,,,,
TABLE VIBRATOR,1,,,,,,,,,,,civil,,,,,
SPEEDY MOISTURE METER,1,1368904,,,,,,,1983,,,civil,,,,,
MOTAR VIBRATOR ,1,19560,,,,,,,1980,,Out of order,civil,,,,,
AIR METER,1,,,,,,,,,,,civil,,,,,
TROLLY,1,,,,,,,,,,,civil,,,,,
AGG. CRUSHING VALUE STEEL CYLINDERS,1,,,,,,,,,,,civil,,,,,
MORTAR FLOW TABLE,1,9553,,,,,,,,,Out of order,civil,,,,,
COARSE AGG. SG. APP.,1,,,,,,,,,,,civil,,,,,
TRANSPORTABLE COMPRESSION MACHINE,1,037/100/695,,,,,,,,strut /materials,,civil,,,,,
IMPACT VALUE TEST APP.,1,19562,,,,,,,,,,civil,,,,,
UNIVERSAL TESTING MACHINE.,1,2742,,,,,,,,,Out of order,civil,,,,,
SLUMP TEST APP.,1,,,,,,,,,,,civil,,,,,
   ,1,,,,,,,,,,,civil,,,,,
VEEP WORKABILITY APP. TEST MACHINE,1,19561/1980,,,,,,,1980,,Out of order,civil,,,,,
CONCRETE MIXER,1,,,,,,,,,,,civil,,,,,
   ,1,,,,,,,,,,,civil,,,,,
PRISM STEEL MOLDS 4No.,1,,,,,,,,,,,civil,,,,,
COMPACTING FACTOR TEST APP.,1,,,,,,,,,,,civil,,,,,
MORTAR MIXER,1,19559,,,,,,,,,,civil,,,,,
SIEVE SHAKER,1,90901,,,,,,,,,Out of order,civil,,,,,
   ,1,2536,,,,,,,,,,civil,,,,,
101.6 mm SIEVES ,3,,,,,,,,,,,civil,,,,,
63.5mm SIEVE,3,,,,,,,,,,,civil,,,,,
50.8mm SIEVE,3,,,,,,,,,,,civil,,,,,
38.1mm SIEVE,3,,,,,,,,,,,civil,,,,,
31.7mm SIEVE,3,,,,,,,,,,,civil,,,,,
25.4mmSIEVE,3,,,,,,,,,,,civil,,,,,
19.1mm SIEVE,3,,,,,,,,,,,civil,,,,,
15.9mm SIEVE,3,,,,,,,,,    ,,civil,,,,,
9.52mm SIEVE,3,,,,,,,,,,,civil,,,,,
4.76mm SIEVE,3,,,,,,,,,     ,,civil,,,,,
   2.38mm SIEVE  ,3,,,,,,,,,,,civil,,,,,
2.00mm SIEVE,1,,,,,,,,,,,civil,,,,,
1.68mm SIEVE,3,,,,,,,,,strut /materials,,civil,,,,,
1.19mm SIEVE,3,,,,,,,,,,,civil,,,,,
0.97mm SIEVE,2,,,,,,,,,,,civil,,,,,
0.59mm SIEVE ,2,,,,,,,,,,,civil,,,,,
0.297mm SIEVE,2,,,,,,,,,,,civil,,,,,
0.149mm SIEVE,3,,,,,,,,,,,civil,,,,,
0.074mm SIEVE,2,,,,,,,,,,,civil,,,,,
0.088mm SIEVE,1,,,,,,,,,,,civil,,,,,
PAN,1,,,,,,,,,,,civil,,,,,
50mm SIEVE ,2,,,,,,,,,,,civil,,,,,
37.5mm SIEVE,2,,,,,,,,,,,civil,,,,,
31.5mm SIEVE,1,,,,,,,,,,,civil,,,,,
26.5mm SIEVE,1,,,,,,,,,,,civil,,,,,
25mm SIEVE,1,,,,,,,,,,,civil,,,,,
20mm SIEVE,1,,,,,,,,,,,civil,,,,,
16mm SIEVE,1,,,,,,,,,,,civil,,,,,
12.5mm SIEVE,1,,,,,,,,,,,civil,,,,,
10mm SIEVE,1,,,,,,,,,,,civil,,,,,
9.5mm SIEVE,1,,,,,,,,,,,civil,,,,,
5mm SIEVE,1,,,,,,,,,,,civil,,,,,
4.75mm SIEVE,1,,,,,,,,,,,civil,,,,,
PAN,1,,,,,,,,,,,civil,,,,,
33.9mmFLAKNESS SIEVE,1,,,,,,,,,,,civil,,,,,
26.3mm   ,1,,,,,,,,,,,civil,,,,,
19.7mm   ,1,,,,,,,,,,,civil,,,,,
14.4mm   ,1,,,,,,,,,,,civil,,,,,
10.2mm   ,1,,,,,,,,,,,civil,,,,,
7.2mm,1,,,,,,,,,,,civil,,,,,
4.9mm,1,,,,,,,,,,,civil,,,,,
70.7mm CUBES   4No.,1,,,,,,,,,,,civil,,,,,
100x100mm CUBES 1,13,,,,,,,,,strut /materials,,civil,,,,,
SAND EQUIVALENT APP.,1,,,,,,,,,,,civil,,,,,
PRESTRESSING JACKS,1,,,,,,,,,,,civil,,,,,
PLANNER,1,942811,,,,,,,,,Out of order,civil,,,,,
GRINDER,1,,,,,,,,,,,civil,,,,,
WORKMATE,1,,,,,,,,,,Out of order,civil,,,,,
CIRCULER SAW,1,,,,,,,,,,Out of order,civil,,,,,
BULK DENSITY  CLY.,2,,,,,,,,,,,civil,,,,,
10Lit.                      ,2,,,,,,,,,,,civil,,,,,
 2Lit.                       ,2,,,,,,,,,,,civil,,,,,
VERNEAR 200mm,1,,,,,,,,,,,civil,,,,,
SCHIMIDT HARMER,1,,,,,,,,,,,civil,,,,,
"VIBRATOR,32mmo,720",1,2039543,,,,,,,,strut /materials,Out of order,civil,,,,,
CROSS CUT SAWS ,2,,,,,,,,,,,civil,,,,,
STOP WATCHES ,4,,,,,,,,,,,civil,,,,,
THERMOMETER (MERCURY) _100-1100C,1,,,,,,,,,,,civil,,,,,
THERMOMETER,1,,,,,,,,,,,civil,,,,,
MICROMETER,3,,,,,,,,,,,civil,,,,,
FLECKNESS  APP. ,1,,,,,,,,,,,civil,,,,,
LECHETLAR MOULDS,1,,,,,,,,,,,civil,,,,,
PECMAN THERMOMETER,1,,,,,,,,,,,civil,,,,,
CUBE TEST SLIDES ,1,,,,,,,,,,,civil,,,,,
STEEL FLOATS,1,,,,,,,,,,,civil,,,,,
PECNOMETER BOTTLES 5No.,5,,,,,,,,,strut /materials,,civil,,,,,
290mml DENSITY BOTTLES. 2No.,2,,,,,,,,,,,civil,,,,,
VICAT APP.,1,,,,,,,,,,,civil,,,,,
INITIAL SETTING TIME,1,,,,,,,,,,,civil,,,,,
 STEEL TROWELS ,4,,,,,,,,,,,civil,,,,,
STEEL FLOATS ,19,,,,,,,,,,,civil,,,,,
EXTENSIOMETER 0.001 GAUG.,4,,,,,,,,,,,civil,,,,,
PECNOMETER BOTTLES 5No.,5,,,,,,,,,,,civil,,,,,
DIAL GAUGE 0.01-30MM,2,,,,,,,,,,,civil,,,,,
GARMON MORGAN,5,,,,,,,,,,,civil,,,,,
SPECIFIC SURFACE FINENESS APP. 2No.,2,,,,,,,,,strut /materials,,civil,,,,,
COVER METER ONE.,1,,,,,,,,,,,civil,,,,,
STRAIN METER,1,,,,,,,,,,,civil,,,,,
DIAL TEST INDICATOR TWO No.,2,,,,,,,,,,,civil,,,,,
4KG BALANCE   1No.,1,,,,,,,,,,,civil,,,,,
CONRETE PENETRATION APP.,2,,,,,,,,,,,civil,,,,,
" NEW SIEVES, Assorted",6,,,,,,,,,,,civil,,,,,
WELDING MACHINE,1,,,,,,,,,,,civil,,,,,
STEEL CUTTER  1No.,1,,,,,,,,,,,civil,,,,,
CEMENT CALORIMETER,1,,,,,,,,,,,civil,,,,,
LOAD CELLS 50 TON ,1,MH 0075,,,,,,,,,,civil,,,,,
LOAD CELLS      20 TON,1,CE 202,,,,,,,,,,civil,,,,,
LOAD CELLS 50TON ,1,CH7315,,,,,,,,,,civil,,,,,
LOAD CELLS 50TON ,1,CH7316,,,,,,,,,,civil,,,,,
TDS 302,1,320866,,,,,,,,,,civil,,,,,
TDS 256       ,1,7015468201,,,,,,,,,,civil,,,,,
BALANCE AVERY,1,,,,,,,,,,,civil,,,,,
VIBRATOR 400X20MM,1,49719,,,,,,,,,,civil,,,,,
DIAL BOND TEST,1,,,,,,,,,,,civil,,,,,
      0.001-2mm,1,,,,,,,,,,,civil,,,,,
LOAD CELLS (TENSILE),1,RE 8078,,,,,,,,,,civil,,,,,
MAGNETIC BASES,5,,,,,,,,,,,civil,,,,,
MAGNETIC BASES,5,,,,,,,,,,,civil,,,,,
TRANSDUCER CAP 50mm,5,511474,,,,,,,,,,civil,,,,,
TRANSDUCER CAP 100mm ,5,YM 7271,,,,,,,,,,civil,,,,,
BALANCE 50KG CAP.,5,,,,,,,,,,,civil,,,,,
COMPACTING FACTOR,1,,,,,,,,,,,civil,,,,,
HELMATE    23 NO.,23,,,,,,,,,,,civil,,,,,
Teknikit Manifold,1,287/35/45,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Teknikit Manifold,1,287/39/14,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Pre-amplifier unit,1,PA150C,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Op amp unit,2,OA150A,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
AC pre-amplifier unit,2,PA150V,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Modulator/Demodulator unit,2,MD 150S,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
AC compensation unit,2,CU 150W,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
PID unit,1,PID 150Y,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Sample & Hold unit,1,SH 150M,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
Attenuator unit,2,AU 150B,,,UK,,,,1992,Control Lab (H7 007),Ok,elec,,,,,
